ActivityContext,ACT_CONTEXT
ActivityReasonCode,ACT_RSN_CDE
AdverseEvent,AE
AdverseEventCausalRelationship,AE_CSL_RLTN
AdverseEventOutcomeAssessment,AE_OUTC_ASSMNT
AdverseEventUnexpectedReasonCode,AE_UNEXPECTED_RSN_CDE
Animal,ANIM
AssessedActivityRelationship,ASSD_ACT_RLTN
AssessedResultRelationship,ASSD_RSLT_RLTN
AssociatedBiologicEntity,ASSD_BIOL_ENT
Biologic,BIOL
BiologicDrug,BIOL_DRG
BiologicEntity,BIOL_ENT
BiologicEntityIdentifier,BIOL_ENT_ID
BiologicEntityName,BIOL_ENT_NME
CausalAssessment,CSL_ASSMNT
Container,CONT
DefinedActivity,DFND_ACT
DefinedCompositionRelationship,DFND_COMPOS_RLTN
DefinedEligibilityCriterionAnswer,DFND_ELIG_CRITER_ANS
DefinedImaging,DFND_IMG
DefinedMaterialProcessStep,DFND_MAT_PROC_STEP
DefinedMaterialStorage,DFND_MAT_STRG
DefinedMedicalConditionResult,DFND_MED_COND_RSLT
DefinedObservation,DFND_OBSERV
DefinedObservationResult,DFND_OBSVRSLT
DefinedObservationResultValue,DFND_OBSVRSLT_VAL
DefinedProcedure,DFND_PROC
DefinedSpecimenCollection,DFND_SPEC_COLL
DefinedSpecimenCollection_Specimen_XREF,DFND_SPEC_COLL_SPEC_XREF
DefinedStudyAdministrativeActivity,DFND_SA_ACT
DefinedStudySubjectMilestone,DFND_STDY_SUBJ_MSTN
DefinedStudySubjectMilestone_DocumentVersion_XREF,DSS_MSTN_DC_VR_XREF
DefinedSubjectActivityGroup,DFND_SUBJ_ACT_GRP
DefinedSubstanceAdministration,DFND_SUBST_ADM
DefinedContingentOnRelationship,DFND_CONTGNT_ON_RLTN
Distributor,DISTR
Document,DOC
DocumentIdentifier,DOC_ID
DocumentIdentifier_PerformedStudyAdministrativeActivity_XREF,DOC_ID_PERF_SA_ACT_XREF
DocumentVersion,DOC_VERS
DocumentVersionKeywordCode,DOC_VER_KYWRD_CDE
DocumentVersionKeywordText,DOC_VER_KYWRD_TXT
DocumentVersionRevisionReasonCode,DOC_VER_RVSN_RSN_CDE
DonorRegistry,DNR_REG
Drug,DRG
Device,DVC
ExperimentalUnit,EXPERMNTL_UNT
ExperimentalUnitIdentifier,EXPERMNTL_UNT_ID
HealthcareFacility,HLTHCR_FACLTY
HealthcareFacility_OversightCommittee_XREF,HCF_OVRST_COMM_XREF
HealthcareFacilityPostalAddress,HCF_PSTL_ADD
HealthcareFacilityTelecomAddress,HCF_TEL_ADD
Laboratory,LBRTY
Material,MAT
MaterialCharacteristicBehaviorCode,MAT_CHAR_BHVR_CDE
MaterialIdentifier,MAT_ID
MaterialName,MAT_NME
Manufacturer,MNFCTR
ObservationResultActionTakenRelationship,OBSVRSLT_ACTN_TKN_RLTN
Organization,ORG
OrganizationIdentifier,ORG_ID
OrganizationName,ORG_NME
OrganizationPostalAddress,ORG_PSTL_ADD
OrganizationRelationship,ORG_RLTN
OrganizationTelecomAddress,ORG_TEL_ADD
OversightCommittee,OVRST_COMM
Performer,PERFMR
PerformedActivity,PERF_ACT
PerformedActivityNegationReason,PERF_ACT_NGTN_RSN
PerformedAdministrativeActivity,PERF_ADM_ACT
PerformedAdministrativeActivityVarianceReasonCode,PERF_ADM_ACT_VAR_RSN_CDE
PerformedAfterCoreActivity,PERF_AFTER_CRE_ACT
PerformedBeforeCoreActivity,PERF_BFR_CRE_ACT
PerformedCellularTherapy,PERF_CELL_THER
PerformedClinicalInterpretation,PERF_CLIN_INTERP
PerformedClinicalResult,PERF_CLIN_RSLT
PerformedClinicalResult_ReferenceResult_XREF,PRFCR_REF_RSLT_XREF
PerformedCompositionRelationship,PERF_COMPOS_RLTN
PerformedDiagnosis,PERF_DIAG
PerformedDiagnosisProcedureRelationship,PERF_DIAG_PROC_RLTN
PerformedDuringCoreActivity,PERF_DURING_CRE_ACT
PerformedImaging,PERF_IMG
PerformedLesionDescription,PERF_LSN_DESC
PerformedMaterialProcessStep,PERF_MAT_PROC_STEP
PerformedMaterialStorage,PERF_MAT_STRG
PerformedMedicalConditionResult,PRFMC_RSLT
PerformedObservation,PERF_OBSERV
PerformedObservationResult,PRFOR
PerformedObservationResult_DocumentVersion_XREF,PRFOR_DOC_VER_XREF
